,P (MPa),T (°C),Specific Volume (m^3/kg),Density (kg/m^3),Specific Internal Energy (kJ/kg),Specific Enthalpy (kJ/kg),Specific Entropy [kJ/(kg K)]
0,0.01,0.0,0.0010002,999.8,-0.040002,-0.03,-0.00015
1,0.01,5.0,0.00100008,999.92,21.0199992,21.03,0.07625
2,0.01,10.0,0.00100034,999.66,42.0199966,42.03,0.15109
3,0.01,15.0,0.00100094,999.06,62.9799906,62.99,0.22446
4,0.01,20.0,0.00100184,998.17,83.9099816,83.92,0.29648
5,0.01,25.0,0.001003,997.01,104.82997,104.84,0.36722
6,0.01,30.0,0.00100441,995.61,125.7299559,125.74,0.43675
7,0.01,35.0,0.00100604,993.99,146.6299396,146.64,0.50513
8,0.01,40.0,0.00100789,992.18,167.5299211,167.54,0.5724
9,0.01,45.0,0.00100992,990.17,188.4299008,188.44,0.63861
10,0.01,45.806,0.00101027,989.83,191.7998973,191.81,0.6492
11,0.01,45.806,14.67,0.068166,2437.2,2583.9,8.1488
12,0.01,50.0,14.867,0.067263,2443.33,2592.0,8.1741
13,0.01,55.0,15.101,0.06622,2450.59,2601.6,8.2036
14,0.01,60.0,15.335,0.065211,2457.85,2611.2,8.2326
15,0.01,65.0,15.568,0.064233,2465.02,2620.7,8.2611
16,0.01,70.0,15.801,0.063285,2472.29,2630.3,8.2891
17,0.01,75.0,16.034,0.062366,2479.46,2639.8,8.3167
18,0.01,80.0,16.267,0.061474,2486.63,2649.3,8.3439
19,0.01,85.0,16.5,0.06607,2493.9,2658.9,8.3707
20,0.01,90.0,16.732,0.059766,2501.08,2668.4,8.3971
21,0.01,95.0,16.964,0.058947,2508.26,2677.9,8.4232
22,0.01,100.0,17.196,0.058152,2515.54,2687.5,8.4489
23,0.01,105.0,17.428,0.057378,2522.72,2697.0,8.4742
24,0.01,110.0,17.66,0.056624,2529.9,2706.5,8.4993
25,0.01,115.0,17.892,0.05589,2537.18,2716.1,8.524
26,0.01,120.0,18.124,0.055176,2544.36,2725.6,8.5484
27,0.01,125.0,18.356,0.054479,2551.64,2735.2,8.5726
28,0.01,130.0,18.587,0.0538,2558.83,2744.7,8.5964
29,0.01,135.0,18.819,0.053138,2566.11,2754.3,8.62
30,0.01,140.0,19.05,0.052493,2573.4,2763.9,8.6434
31,0.01,145.0,19.282,0.051863,2580.58,2773.4,8.6664
32,0.01,150.0,19.513,0.051247,2587.87,2783.0,8.6892
33,0.01,155.0,19.745,0.05647,2595.15,2792.6,8.7118
34,0.01,160.0,19.976,0.0506,2602.54,2802.3,8.7341
35,0.01,165.0,20.207,0.049487,2609.83,2811.9,8.7562
36,0.01,170.0,20.438,0.048927,2617.12,2821.5,8.7781
37,0.01,175.0,20.67,0.04838,2624.5,2831.2,8.7997
38,0.01,180.0,20.901,0.047845,2631.79,2840.8,8.8212
39,0.01,185.0,21.132,0.047321,2639.18,2850.5,8.8424
40,0.01,190.0,21.363,0.046809,2646.57,2860.2,8.8634
41,0.01,195.0,21.594,0.046308,2653.96,2869.9,8.8843
42,0.01,200.0,21.826,0.045818,2661.34,2879.6,8.9049
43,0.01,210.0,22.288,0.044868,2676.22,2899.1,8.9456
44,0.01,220.0,22.75,0.043956,2691.1,2918.6,8.9856
45,0.01,230.0,23.212,0.043081,2705.98,2938.1,9.0248
46,0.01,240.0,23.674,0.04224,2721.06,2957.8,9.0635
47,0.01,250.0,24.136,0.041432,2736.04,2977.4,9.1015
48,0.01,260.0,24.598,0.04654,2751.22,2997.2,9.1388
49,0.01,270.0,25.06,0.039904,2766.4,3017.0,9.1756
50,0.01,280.0,25.522,0.039182,2781.58,3036.8,9.2118
51,0.01,290.0,25.984,0.038486,2796.96,3056.8,9.2475
52,0.01,300.0,26.446,0.037814,2812.24,3076.7,9.2827
